"device_info_serial","date_time","latitude","longitude","altitude","pressure","temperature","satellites_used","gps_fixtime","positiondop","h_accuracy","v_accuracy","x_speed","y_speed","z_speed","speed_accuracy","location","userflag","speed_2d","speed_3d","direction","altitude_agl"
1,"2010-06-29 00:10:45",53.0095272,4.7179211,1,,19.4,5,23.3,5.9,8.7,6.3,-0.03,-0.06,-0.03,0.42,"0101000020E6100000F26E76B526DF12401336F22F38814A40",0,0.0581561018827814,0.0734846922834953,-80.3264896978959,-3
1,"2010-06-29 00:31:30",53.0095136,4.7180648,5,,20.4,5,52.2,3.5,6.6,6.5,0.02,0.08,-0.02,3.91,"0101000020E610000097A201614CDF1240016FDCBD37814A40",0,0.0848528107235021,0.0848528137423857,113.040678428023,1
1,"2010-06-29 00:51:45",52.9950223,4.7276996,3,,18.2,6,19.3,3.5,5.3,7.3,-0.43,-0.24,-0.01,3.33,"0101000020E6100000C73F7D152AE9124036A506E45C7F4A40",0,0.406712783699662,0.49254441424099,-30.0628600321498,4
1,"2010-06-29 00:56:44",52.9950252,4.7277308,3,,19.2,6,14.4,3.6,6.1,7.9,-0.15,-0.03,0.31,3.51,"0101000020E6100000EC2A494332E9124012595AFC5C7F4A40",0,0.308437508603992,0.345687720348872,-3.25904564341081,4
1,"2010-06-29 01:01:49",52.995023,4.7277073,1,,19.9,6,15.4,3.7,5.6,7.7,-0.06,-0.11,0.33,3.35,"0101000020E6100000E93D3A1A2CE9124048E2E5E95C7F4A40",0,0.274368472243472,0.352987251894456,-22.4286471312785,2
1,"2010-06-29 01:06:53",52.9950168,4.7277329,3,,20.5,5,15.4,3.9,6.2,7.9,-0.05,-0.01,-0.01,3.66,"0101000020E610000099E436D032E912403C7CE3B55C7F4A40",0,0.0349252226382799,0.0519615242270663,-9.63410251753705,4
1,"2010-06-29 01:12:07",52.9950834,4.7277737,0,,21,5,25.3,3.9,6,4.5,0.01,0,0.01,0.32,"0101000020E6100000408E41823DE9124070E591E45E7F4A40",0,0.00210767152879348,0.014142135623731,-156.979821012138,1
1,"2010-06-29 01:17:01",52.9950364,4.72769,0,,21.5,5,15.4,3.1,3.5,7.3,-0.01,-0.14,-0.1,2.98,"0101000020E610000045813E9127E912402F2A4E5A5D7F4A40",0,0.145216520576097,0.172336879396141,-107.230298775074,1
1,"2010-06-29 01:22:15",52.995103,4.7278048,0,,21.2,4,25.1,5.1,7.9,5.1,-0.02,0.01,-0.01,0.36,"0101000020E6100000BF7C57A945E912406493FC885F7F4A40",0,0.0148417572285488,0.0244948974278318,51.4946537323395,1
1,"2010-06-29 01:27:19",52.9951229,4.7278377,-2,,21.4,4,25.2,5.9,9.6,5,-0.01,0.02,0.03,0.4,"0101000020E6100000F62E39494EE912401680EB2F607F4A40",0,0.0322621475603611,0.0374165738677394,40.0428276831193,-1
1,"2010-06-29 01:32:23",52.9951667,4.7279033,-1,,21.4,4,25.2,7.2,12.3,4.8,-0.04,0.04,0.02,0.45,"0101000020E6100000179A907B5FE91240BC48579F617F4A40",0,0.0596954854153723,0.06,46.304132425267,0
1,"2010-06-29 01:37:27",52.9952204,4.727974,-1,,21.3,4,25.2,9.6,16.9,4.6,0,0,0,0.56,"0101000020E61000006C5A290472E91240F127CF61637F4A40",0,0,0,0.0,0
1,"2010-06-29 01:42:19",52.9832868,4.7230165,16,,17.4,4,13.2,5,6.9,12.7,9.66,-2.02,-6.95,5.49,"0101000020E6100000A0DFF76F5EE41240544B8457DC7D4A40",0,12.0696730469119,12.0705633671341,-166.544299392943,16
1,"2010-06-29 01:47:39",52.9683311,4.7116022,-4,,16.4,5,13.2,2.2,5,6.1,8.02,-2.04,-7.63,3.97,"0101000020E6100000EE0B433FAED8124090190346F27B4A40",0,11.1713688427249,11.2560605897445,-166.056693764642,-4
1,"2010-06-29 01:52:44",52.9400776,4.6991684,8,,16.3,5,14.1,2.1,4.3,5.5,7.44,-5.76,-5.66,3.42,"0101000020E61000002A9611CDF2CB1240E1D9797654784A40",0,10.9752575472732,10.9802914351123,-144.648703854285,8
1,"2010-06-29 01:58:17",52.9076753,4.6928957,11,,16.5,5,42.9,2.2,5.8,5.1,8.37,-0.59,-6.94,5.34,"0101000020E6100000F7274C7386C51240897148B42E744A40",0,10.8758255208208,10.8889209750094,-173.279193327621,11
1,"2010-06-29 02:03:21",52.9018944,4.6898022,-22,,17.6,4,27.1,10.6,15.5,8.4,0.64,-0.04,-0.49,0.64,"0101000020E6100000DDD506825BC212400839944671734A40",0,0.806991400304701,0.807031597894407,-173.440030121522,-22
1,"2010-06-29 02:08:39",52.8953894,4.6778456,17,,17,6,41,1.8,7.4,6.4,1.7,-8.87,-0.95,2.77,"0101000020E610000033F32E281DB61240B017AF1E9C724A40",0,9.07963923906852,9.08126643150612,-98.5346356912874,17
1,"2010-06-29 02:14:11",52.9032077,4.6330746,14,,16.1,6,51.6,1.7,7.8,5.2,-4.57,-9.94,2.5,4.17,"0101000020E61000008FB63BB544881240697F564F9C734A40",0,11.1537724838357,11.2222323982352,-58.7786198311359,14
1,"2010-06-29 02:19:34",52.9059576,4.6245268,-13,,17.3,6,40,2,3.9,4.1,0.08,-0.53,-0.08,1.11,"0101000020E6100000F2E615F4837F124005C82B6BF6734A40",0,0.540350324163087,0.541940956193569,-98.2749665015673,-13
1,"2010-06-29 02:24:27",52.9073907,4.6135559,-8,,18.8,5,13.2,3.9,7.9,8.4,-0.18,-2.03,-0.27,4.15,"0101000020E6100000461273FF47741240E798E26025744A40",0,2.01198205438018,2.05577236093883,-86.8511126320416,-8
1,"2010-06-29 02:29:33",52.9077016,4.6062214,-1,,17.8,6,15.1,1.8,4.8,4.7,-0.07,-1.85,-0.09,3.24,"0101000020E6100000958A7C4DC56C12407143E7902F744A40",0,1.84230808369199,1.85351018340877,-86.2689456835317,-1
